Team,Number,Player,Position,Ht,B,T
Charleston,30,Nick Del Prado,P,,R,R
Charleston,27,Eddy Demurias,P,,R,R
Charleston,26,Jonh Henriquez,P,,R,R
Charleston,17,Jamison Hill,P,,R,R
Charleston,9,David Lebron,P,,R,R
Charleston,14,Lance Lusk,P,,R,R
Charleston,11,Kyle McGowin,P,,R,R
Charleston,31,Brendan Medoro,P,,R,R
Charleston,6,Frank Moscatiello,P,,R,R
Charleston,34,Joe Record,P,,R,R
Charleston,15,Samuel Reyes,P,,R,R
Charleston,35,Luis Romero,P,,R,R
Charleston,23,Edison Suriel,P,5-10,L,L
Charleston,19,Tyler Hill,C,,R,R
Charleston,41,BJ Lopez,C,,R,R
Charleston,18,Jonathan Soto,C,,R,R
Charleston,3,Benjamin Blackwell,IF,,R,R
Charleston,8,Travis Demeritte,IF,,R,R
Charleston,12,James Nelson,IF,,R,R
Charleston,2,Joseph Rosa,IF,,S,R
Charleston,22,Alsander Womack,2B,,R,R
Charleston,5,Zach Daniels,OF,,R,R
Charleston,16,Demetrius Moorer,OF,,R,R
Charleston,37,Chad Sedio,OF,6-3,L,R
Charleston,10,Carlos Meza,P,,L,L
Charleston,13,Ariel Pestano Jr.,C,,R,R
Gastonia,10,Bryan Blanton,P,,R,R
Gastonia,27,Jackson Boss,P,,R,R
Gastonia,26,Matt Hartman,P,,R,R
Gastonia,28,Kent Hasler,P,5-10,R,R
Gastonia,24,Ryan Hennen,P,,R,L
Gastonia,18,Nick Horvath,P,,R,L
Gastonia,17,Tanner Myatt,P,,R,R
Gastonia,22,Justus Sheffield,P,,L,L
Gastonia,9,Nick Snyder,P,,R,R
Gastonia,13,Cory Thompson,P,5-11,R,R
Gastonia,20,Duane Underwood Jr.,P,,R,R
Gastonia,23,Nick Wells,P,6-5,L,L
Gastonia,16,John Wilson,P,,L,L
Gastonia,19,Patrick Mazeika,C,,L,R
Gastonia,14,Henderson Perez,C,5-11,R,R
Gastonia,2,Alan Alonso,IF,,R,R
Gastonia,25,Francis Grullon,IF,,S,R
Gastonia,3,Dalton Guthrie,IF,,R,R
Gastonia,1,Jack Reinheimer,IF,6-1,R,R
Gastonia,0,Ethan Skender,IF,,R,R
Gastonia,4,Justin Wylie,IF,,R,R
Gastonia,34,Narciso Crook,OF,,R,R
Gastonia,11,Eric De La Rosa,OF,6-3,R,R
Gastonia,7,Cole Roederer,OF,,L,L
Gastonia,8,Kevin Watson Jr.,OF,,L,R
Gastonia,15,Luis Aviles,C,,R,R
Gastonia,29,Raynel Espinal,P,6-4,R,R
Gastonia,12,Connor Grey,P,,R,R
Gastonia,33,Adam Scott,P,,L,L
Gastonia,21,Kevin Smith,P,,R,L
High Point,20,Kyle Barraclough,P,6-3,R,R
High Point,32,Stevie Branche,P,,R,R
High Point,28,Cooper Casad,P,,R,R
High Point,36,Tommy Doyle,P,,R,R
High Point,27,Kent Emanuel,P,,L,L
High Point,33,Matt Frisbee,P,,R,R
High Point,45,Kyle Halbohn,P,6-8,R,R
High Point,21,Justin Lewis,P,,R,R
High Point,29,Braeden Ogle,P,6-2,L,L
High Point,13,Jonah Scolaro,P,5-9,L,L
High Point,9,Matt Solter,P,,R,R
High Point,40,Erich Uelmen,P,,R,R
High Point,34,Zach Vennaro,P,6-6,R,R
High Point,25,Jack Conley,C,,R,R
High Point,6,Isaiah Mirabal,C,,R,R
High Point,4,Nolan Watson,C,,R,R
High Point,5,Carlos Amezquita,IF,,S,R
High Point,1,Aidan Brewer,IF,,R,R
High Point,2,D.J. Burt,IF,,R,R
High Point,14,Max Viera,IF,,R,R
High Point,23,Ben Aklinski,OF,,R,R
High Point,10,Luis Gonzalez,OF,,L,L
High Point,3,Cody Wilson,OF,,R,R
High Point,22,Drew Mendoza,U,,L,R
High Point,7,Ian Yetsko,U,5-9,R,R
High Point,24,Brandon Backman,P,,R,R
High Point,48,Nick Longhi,1B,,R,L
Lexington,14,Dustin Beggs,P,6-3,R,R
Lexington,38,Wilton Castillo,P,6-8,R,R
Lexington,4,Julio Dilone,P,6-1,R,R
Lexington,21,Christian Edwards,P,6-3,R,R
Lexington,0,Michael Esposito,P,5-10,L,L
Lexington,15,Durbin Feltman,P,6-0,R,R
Lexington,18,Ben Ferrer,P,6-0,R,R
Lexington,31,Jonathan Haab,P,6-3,R,R
Lexington,32,Nic Laio,P,6-5,R,R
Lexington,25,Jimmy Loper,P,6-4,R,R
Lexington,12,Jack Lynch,P,5-11,L,L
Lexington,29,Tanner Tully,P,6-2,L,L
Lexington,33,Patrick Wicklander,P,6-1,R,L
Lexington,8,Grant Wood,P,6-4,R,R
Lexington,3,Austin Bates,C,5-10,R,R
Lexington,2,Sergio Gutierrez,C,6-2,S,R
Lexington,13,Jerry Huntzinger,C,6-2,R,R
Lexington,11,Andy Atwood,IF,6-1,R,R
Lexington,23,Brian Fuentes,IF,5-10,R,R
Lexington,28,Curtis Terry,IF,6-1,R,R
Lexington,20,Paul Toetz,IF,5-11,R,R
Lexington,19,Pedro Gonzalez,OF,6-6,R,R
Lexington,9,Ryan McCarthy,OF,6-3,L,R
Lexington,27,Dylan Rock,OF,6-0,R,R
Lexington,6,Xane Washington,OF,5-11,S,R
Lexington,7,Brady Whalen,U,6-5,L,R
Lexington,16,Kole Cottam,C,6-3,R,R
Lexington,19,EJ Cumbo,OF,5-8,L,L
Southern Maryland,24,Maceo Campbell,P,,R,R
Southern Maryland,37,Santiago Florez,P,,R,R
Southern Maryland,25,Joey Hennessey,P,6-4,R,R
Southern Maryland,17,Ian Kahaloa,P,,R,R
